SALES ,CLICKS,IMPS,Avg POS
0,2,396,1.6
0,1,459,1.4
0,3,472,1.5
0,2,388,1.6
0,1,440,1.5
0,1,366,1.7
0,2,354,1.6
0,1,406,1.7
0,2,272,1.8
0,2,435,1.7
0,1,340,1.7
0,1,441,1.5
0,2,345,1.5
0,3,428,1.6
0,1,394,1.5
0,1,336,1.4
0,2,580,2
0,3,479,1.5
0,3,461,1.8
0,3,409,1.7
0,1,239,1.8
0,1,237,2.2
0,1,203,2.4
0,2,304,2.2
0,1,259,2.1
0,4,239,2.1
0,2,235,2.3
0,5,289,2.4
0,5,316,2.2
1,2,472,2.1
0,3,207,2.4
0,1,310,2.3
0,1,308,2.1
0,1,340,1.9
0,1,370,1.7
0,1,341,1.6
0,1,438,1.7
0,2,429,1.5
0,2,481,1.6
0,1,379,1.5
0,1,344,1.5
0,2,354,1.7
0,2,408,1.6
0,3,469,1.5
0,1,335,2
0,1,324,2.1
0,4,279,2.1
0,2,312,2.1
0,5,286,2.1
0,1,165,2.3
0,1,228,2.4
0,1,223,2.5
0,1,357,1.8
0,5,508,1.4
0,2,404,1.5
0,3,333,2.1
0,1,226,2
0,1,223,2.1
0,2,237,2
0,3,169,2.3
0,2,227,2.7
0,3,126,2.2
0,2,179,2.2
0,1,178,2.1
0,2,206,2.7
0,1,329,1.9
0,6,312,1.8
0,2,73,2.6
0,1,88,2.7
0,4,140,2.7
0,1,123,3.3
0,3,106,3.2
0,3,226,1.2
0,2,327,1.4
0,8,404,1.3
0,5,359,1.5
0,4,450,1.5
0,1,149,2.3
0,1,188,2.4
0,3,164,2.1
0,1,176,2
0,2,279,2
0,1,290,2
0,5,326,1.7
0,3,253,1.7
0,2,380,1.8
0,2,391,1.7
0,3,226,1.5
0,5,297,1.6
0,4,252,1.5
0,5,352,1.4
0,2,321,1.4
0,2,258,1.2
0,2,297,1.3
0,2,423,1.5
0,3,216,1.7
0,5,288,1.8
0,4,305,2
0,3,253,2.2
0,3,263,2
0,3,148,2.8
0,2,80,2.8
0,4,225,2.1
0,3,264,2
0,2,83,3.3
0,2,251,1.8
0,2,173,2.2
0,9,501,2
0,3,93,3
0,4,311,2.3
0,3,252,2.3
0,1,63,4.4
0,1,40,14.9
0,4,431,1.8
0,1,64,2.6
0,1,2,12
0,1,7,14.7
0,1,1,3
0,1,20,3
0,1,51,2.7
0,1,20,2.5
0,1,26,2.5
0,1,12,2.5
0,1,22,2.5
0,1,29,2.9
0,1,29,2.1
0,1,19,2.2
0,1,25,1.8
0,1,34,1.9
0,2,19,1.8
0,1,25,2.3
0,3,38,1.9
0,1,32,1.2
0,3,32,1.5
0,2,25,1.7
0,1,10,1.1
0,1,26,1.4
0,1,72,1.2
0,1,12,2.7
0,2,17,1.6
0,1,21,2.7
0,2,19,2.8
0,1,3,1
0,1,2,1.5
0,1,6,4.7
0,1,46,9.1
0,1,42,8.2
0,1,34,9.2
0,1,45,10.6
0,1,33,8.6
0,1,45,13.6
0,1,16,9.9
0,2,43,11.7
0,1,32,9.9
0,1,1,10
0,1,1,1
0,3,113,10.3
0,2,67,10.3
0,1,52,9.2
0,5,56,9.4
0,1,63,9.5
0,3,85,9.9
0,1,57,8.7
0,5,151,8.6
0,3,127,8.9
0,2,132,9.7
1,2,94,9.8
0,5,97,9.3
0,3,124,9.4
0,2,97,10
0,3,96,9.7
0,4,107,7
0,3,139,6.1
0,10,201,5.3
0,6,261,5.4
0,2,249,6.3
0,1,194,7.4
0,4,187,6.4
0,6,260,6.5
0,3,225,7
0,8,189,7.1
0,3,172,7.7
0,5,157,6.9
0,5,222,7.1
0,4,199,7.2
0,6,226,6.3
0,6,182,6.4
0,9,154,6.5
1,6,153,6.9
0,4,194,7.7
0,1,197,7.8
0,4,186,8.3
1,10,177,8.8
1,11,246,4.3
1,30,591,2.2
